dong_code,dong_name,population,population_normalized
11500550,화곡2동,12416.041874825718,0.09160319942353899
11500560,화곡3동,17931.43588273901,0.1503945645781144
11500570,화곡4동,15406.514893510517,0.12348015888901902
11500590,화곡본동,26691.90444401175,0.24377681530616802
11500591,화곡6동,20506.198860348373,0.17784026114773901
11500593,화곡8동,40405.07514945848,0.3899524149485897
11500603,가양1동,43054.688563706535,0.41819598005599984
11500604,가양2동,14482.290664780721,0.11362838691443311
11500605,가양3동,11674.978817842182,0.08370383471393257
11500611,발산1동,32949.90973455315,0.3104840484879879
11500615,우장산동,34025.81900549633,0.3219527077950943
11500620,공항동,36050.94539530987,0.3435395508922279
11500630,방화1동,33210.78055090899,0.3132648020299005
11500640,방화2동,26126.617385800208,0.23775113557978989
11500641,방화3동,13713.80290598376,0.10543668848283781
11530510,신도림동,32590.008604927796,0.3066476809137058
11530520,구로1동,15414.83690624192,0.12356886741802184
11530530,구로2동,33306.45359561602,0.3142846292441939
11530540,구로3동,38949.98181634534,0.37444184156828303
11530550,구로4동,17530.02206906503,0.1461156923771551
11530560,구로5동,32702.87673402669,0.30785079920092995
11530595,가리봉동,10409.424545306105,0.07021365373087864
11530720,고척1동,24696.49334820913,0.22250672250799133
11530730,고척2동,15225.55100652582,0.12155117359000973
11530740,개봉1동,27638.394417309202,0.25386592907672306
11530750,개봉2동,21839.975913197217,0.19205766313866177
11530760,개봉3동,18767.71443141542,0.15930887921377446
11530770,오류1동,18842.205853848005,0.1601029208381506
11530780,오류2동,49679.78659213046,0.48881623978995353
11530790,수궁동,19475.119972729728,0.16684947149641258
11545510,가산동,59235.41124298622,0.5906744601315083
11545610,독산1동,40317.945939993966,0.3890236607812703
11545620,독산2동,12255.961770564709,0.08989682489252844
11545630,독산3동,15967.910314130404,0.12946435568845266
11545640,독산4동,11459.941910413674,0.08141164791309817
11545670,시흥1동,25754.671655627906,0.23378637853634554
11545680,시흥2동,14364.752557042106,0.11237548897065534
11545690,시흥3동,9377.591345736497,0.05921482348820263
11545700,시흥4동,9921.127044853423,0.06500864451268111
11545710,시흥5동,10677.536233716635,0.07307159137829558
11560515,영등포본동,19429.654543855817,0.16636483256998222
11560535,영등포동,49576.18176836704,0.48771186374412406
11560540,여의동,95241.28534514092,0.9744792234924372
11560550,당산1동,24533.936297823428,0.2207739449595579
11560560,당산2동,41008.0557222427,0.39637988884887854
11560585,도림동,14985.748323029655,0.11899499589713007
11560605,문래동,37814.62566127444,0.3623395079548551
11560610,양평1동,18447.76632180507,0.15589839102097625
11560620,양평2동,25355.45952530295,0.22953097518811763
11560630,신길1동,18108.56198417871,0.15228264098629246
11560650,신길3동,13328.342953993408,0.10132787653623604
11560660,신길4동,6676.905836042435,0.030426855168933592
11560670,신길5동,9543.643206563156,0.06098485398293249
11560680,신길6동,20617.459883390107,0.17902624848132445
11560690,신길7동,16250.114829294947,0.13247251588072617
11560700,대림1동,15026.845396617775,0.1194330703223909
11560710,대림2동,16556.366636618997,0.13573700828286533
11560720,대림3동,22495.116796285372,0.1990411400815718
11590510,노량진1동,34179.13112858014,0.3235869390028578
11590520,노량진2동,15196.466156177903,0.12124114350787649
11590530,상도1동,43832.00307790472,0.4264817673231668
11590540,상도2동,19665.705243848228,0.16888101597924288
11590550,상도3동,16579.957265729823,0.13598847269108183
11590560,상도4동,20282.925981639713,0.17546028297710595
11590605,흑석동,31949.696361284976,0.2998222699140675
11590620,사당1동,22773.89806121923,0.20201281012390518
11590630,사당2동,32064.643767841968,0.3010475522679243
11590640,사당3동,17672.66011887468,0.1476361432568681
11590650,사당4동,13370.327276667407,0.10177540859678388
11590651,사당5동,11282.566108673484,0.07952090982353809
11590660,대방동,40764.45371764693,0.3937832122770818
11590670,신대방1동,19453.196004665253,0.16661577286848744
11590680,신대방2동,23656.705716218818,0.2114231019601491
11620525,보라매동,16106.015000210486,0.13093648315880976
11620545,청림동,10998.156792270915,0.07648924754338254
11620565,성현동,20673.619085502876,0.17962487772766014
11620575,행운동,23467.80190799828,0.20940948103800844
11620585,낙성대동,23221.597198385753,0.20678506092136065
11620595,청룡동,39250.373200457245,0.37764386476504336
11620605,은천동,26878.347794400514,0.24576420896791212
11620615,중앙동,13665.902431293547,0.10492609317549452
11620625,인헌동,22760.6789838362,0.20187190131406904
11620630,남현동,22042.198952239087,0.19421326045662685
11620645,서원동,20455.007313141374,0.17729458463934156
11620655,신원동,15237.133304486177,0.1216746351428452
11620665,서림동,16927.40828061042,0.13969212821593915
11620685,신사동,19610.593161676494,0.16829354851223352
11620695,신림동,27368.810541391795,0.25099229864051015
11620715,난향동,9814.210853685301,0.06386897093235613
11620725,조원동,31272.97934978877,0.2926088021414833
11620735,대학동,33571.066742555966,0.31710527417438883
11620745,삼성동,18589.52468855144,0.15740946491545132
11620765,미성동,19976.40019104006,0.17219287004911144
11620775,난곡동,16505.16249969998,0.13519119757438078
11650510,서초1동,30731.472615321483,0.28683660887404844
11650520,서초2동,44225.47650457041,0.4306759989360913
11650530,서초3동,63872.069877701164,0.6400989419544807
11650531,서초4동,39231.06906774736,0.377438092282876
11650540,잠원동,33263.2864825446,0.31382448922453093
11650550,반포본동,5541.902855233451,0.01832828621800588
11650560,반포1동,32492.93984575531,0.3056129760753165
11650570,반포2동,24577.90002124472,0.221242576450528
11650580,반포3동,25204.0427530899,0.22791694748077118
11650581,반포4동,44632.912190705414,0.4350190613113632
